address,varies,10gbaser_refclk0_156M25_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaprx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptrx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptx,jesd204b_refclk0_100M_qpll0_lane0123,usb3_mclk_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk0_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk1_125M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_cpll_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane1,usb3_refclk0_100M_qpll0_lane3,usb3_refclk0_50M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane1,usb3_refclk1_100M_qpll0_lane2,usb3_refclk1_100M_qpll0_lane3,usb3_refclk1_100M_qpll1_lane3,usb3_refin_100M_qpll0_lane0
0x00808620,yes,0x00000032,0x00000006,0x00000006,0x00000006,0x00000006,0x00000016,0x00000016,0x00000016,0x00000016,0x00000016,0x00000016,0x00000016,,,0x00000016,0x00000016,,,,,0x00000016
0x00808624,no,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,,,0x0008020c,0x0008020c,,,,,0x0008020c
0x00808628,yes,,,,,,0x00000116,,,0x00000106,0x00000106,0x00000116,0x00000116,0x00000116,,,,0x00000116,,,,
0x0080862c,no,,,,,,0x0008020c,,,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,,,,0x0008020c,,,,
0x00808630,no,,,,,,0x00000216,,,,,,,,,,,,0x00000216,,,
0x00808634,no,,,,,,0x0008020c,,,,,,,,,,,,0x0008020c,,,
0x00808638,no,,,,,,0x00000316,,,,,,,,0x00000316,,,,,0x00000316,0x00000316,
0x0080863c,no,,,,,,0x0008020c,,,,,,,,0x0008020c,,,,,0x0008020c,0x0008020c,
0x008086dc,no,,,,,,0x00000031,,,,,,,,,,,,0x00000031,,,
0x00808710,no,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008
0x00808714,no,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700
0x00808720,no,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008
0x00808724,no,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700
0x00808730,no,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008
0x00808734,no,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700
0x00808740,no,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008
0x00808744,no,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700,0x04000700
0x00808758,no,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0,0x000000c0
0x00808760,yes,0x00015010,0x00015010,0x00015010,0x00015010,0x00015010,0x00015010,0x00015010,0x00015010,0x00015010,0x00015010,0x00015010,0x00015010,0x00015010,0x00015010,0x00015010,0x00015410,0x00015410,0x00015410,0x00015410,0x00015410,0x00015010
0x00808764,no,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010,0x00005010
0x00808808,no,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003
0x0080880c,no,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011
0x0080881c,no,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
0x00808820,no,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff
0x00808824,yes,0x00000013,0x00000001,0x00000001,0x00000001,0x00000001,0x00000013,0x00000013,0x00000013,0x00000013,0x00000013,0x00000013,0x00000013,0x00000001,0x00000001,0x00000013,0x00000013,0x00000001,0x00000001,0x00000001,0x00000001,0x00000013
0x00808828,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x0080882c,no,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120
0x00808830,no,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
0x00808834,no,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff
0x00808838,yes,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000013,0x00000001,0x00000001,0x00000001,0x00000001,0x00000013,0x00000013,0x00000013,0x00000001,0x00000001,0x00000001,0x00000013,0x00000001,0x00000001,0x00000001,0x00000001
0x0080883c,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00808840,no,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120
0x00808844,no,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
0x00808848,no,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff
0x0080884c,yes,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000013,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000013,0x00000001,0x00000001,0x00000001
0x00808850,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00808854,no,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120
0x00808858,no,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff,0xffffffff
0x0080885c,no,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff,0x000007ff
0x00808860,yes,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000013,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000013,0x00000001,0x00000001,0x00000001,0x00000001,0x00000013,0x00000013,0x00000001
0x00808864,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00808868,no,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120,0x00707120
